Using seeds: [7270, 860, 5390, 5191, 5734]
n: 500, d: 50
Run 1/5 with seed 7270
7270
cpu
Epoch 58: loss upper: -25.5644, hypergrad norm: 7.4345e-04,alpha: 13.4428, step time: 2.1670
Epoch 59: loss upper: -25.5645, hypergrad norm: 6.9775e-04,alpha: 13.4428, step time: 2.1441
Epoch 60: loss upper: -25.5645, hypergrad norm: 6.5551e-04,alpha: 13.4428, step time: 1.9865
Epoch 61: loss upper: -25.5645, hypergrad norm: 6.1639e-04,alpha: 13.4429, step time: 2.1646
Epoch 62: loss upper: -25.5645, hypergrad norm: 5.8003e-04,alpha: 13.4429, step time: 2.1064
Epoch 63: loss upper: -25.5645, hypergrad norm: 5.4648e-04,alpha: 13.4429, step time: 2.0755
Epoch 64: loss upper: -25.5645, hypergrad norm: 5.1515e-04,alpha: 13.4429, step time: 2.2693
Epoch 65: loss upper: -25.5646, hypergrad norm: 4.8609e-04,alpha: 13.4429, step time: 2.2034
Epoch 66: loss upper: -25.5646, hypergrad norm: 4.5899e-04,alpha: 13.4430, step time: 2.2214
Epoch 67: loss upper: -25.5646, hypergrad norm: 4.3374e-04,alpha: 13.4430, step time: 2.1291
Epoch 68: loss upper: -25.5646, hypergrad norm: 4.1022e-04,alpha: 13.4430, step time: 2.3148
Epoch 69: loss upper: -25.5646, hypergrad norm: 3.8820e-04,alpha: 13.4430, step time: 2.2380
Epoch 70: loss upper: -25.5646, hypergrad norm: 3.6763e-04,alpha: 13.4430, step time: 2.2056
Epoch 71: loss upper: -25.5646, hypergrad norm: 3.4839e-04,alpha: 13.4430, step time: 2.0189
Epoch 72: loss upper: -25.5646, hypergrad norm: 3.3036e-04,alpha: 13.4430, step time: 2.2910
Epoch 73: loss upper: -25.5646, hypergrad norm: 3.1348e-04,alpha: 13.4430, step time: 2.2177
Epoch 74: loss upper: -25.5647, hypergrad norm: 2.9764e-04,alpha: 13.4431, step time: 2.2566
Epoch 75: loss upper: -25.5647, hypergrad norm: 2.8279e-04,alpha: 13.4431, step time: 2.1925
Epoch 76: loss upper: -25.5647, hypergrad norm: 2.6881e-04,alpha: 13.4431, step time: 2.1900
Epoch 77: loss upper: -25.5647, hypergrad norm: 2.5570e-04,alpha: 13.4431, step time: 2.2838
Epoch 78: loss upper: -25.5647, hypergrad norm: 2.4335e-04,alpha: 13.4431, step time: 2.0440
Epoch 79: loss upper: -25.5647, hypergrad norm: 2.3171e-04,alpha: 13.4431, step time: 2.1479
Epoch 80: loss upper: -25.5647, hypergrad norm: 2.2077e-04,alpha: 13.4431, step time: 2.1973
Epoch 81: loss upper: -25.5647, hypergrad norm: 2.1042e-04,alpha: 13.4431, step time: 2.4522
Epoch 82: loss upper: -25.5647, hypergrad norm: 2.0063e-04,alpha: 13.4431, step time: 2.0164
Epoch 83: loss upper: -25.5647, hypergrad norm: 1.9147e-04,alpha: 13.4431, step time: 2.1105
Epoch 84: loss upper: -25.5648, hypergrad norm: 1.8277e-04,alpha: 13.4431, step time: 2.3347
Epoch 85: loss upper: -25.5648, hypergrad norm: 1.7456e-04,alpha: 13.4432, step time: 2.2293
Epoch 86: loss upper: -25.5648, hypergrad norm: 1.6679e-04,alpha: 13.4432, step time: 2.1169
Epoch 87: loss upper: -25.5648, hypergrad norm: 1.5942e-04,alpha: 13.4432, step time: 2.0161
Epoch 88: loss upper: -25.5648, hypergrad norm: 1.5244e-04,alpha: 13.4432, step time: 2.2699
Epoch 89: loss upper: -25.5648, hypergrad norm: 1.4584e-04,alpha: 13.4432, step time: 2.1989
Epoch 90: loss upper: -25.5648, hypergrad norm: 1.3959e-04,alpha: 13.4432, step time: 2.2754
Epoch 91: loss upper: -25.5648, hypergrad norm: 1.3366e-04,alpha: 13.4432, step time: 2.2494
Epoch 92: loss upper: -25.5648, hypergrad norm: 1.2801e-04,alpha: 13.4432, step time: 2.3479
Epoch 93: loss upper: -25.5648, hypergrad norm: 1.2269e-04,alpha: 13.4432, step time: 2.3056
Epoch 94: loss upper: -25.5648, hypergrad norm: 1.1761e-04,alpha: 13.4432, step time: 2.2125
Epoch 95: loss upper: -25.5648, hypergrad norm: 1.1278e-04,alpha: 13.4432, step time: 2.4262
Epoch 96: loss upper: -25.5648, hypergrad norm: 1.0820e-04,alpha: 13.4432, step time: 2.3860
Epoch 97: loss upper: -25.5648, hypergrad norm: 1.0384e-04,alpha: 13.4432, step time: 2.0277
Epoch 98: loss upper: -25.5648, hypergrad norm: 9.9671e-05,alpha: 13.4432, step time: 2.4318
Epoch 99: loss upper: -25.5648, hypergrad norm: 9.5716e-05,alpha: 13.4432, step time: 2.3818
Epoch 100: loss upper: -25.5649, hypergrad norm: 9.1961e-05,alpha: 13.4432, step time: 1.9498
Epoch 101: loss upper: -25.5648, hypergrad norm: 8.8385e-05,alpha: 13.4432, step time: 1.8186
